Cnote No,Sold Id,B Code,Date,CCode,F Mani,Date.1,S Mani,Date.2,receiver,Address,R_City,Pincode,Contact no,Weight,PkStatus,D_date,D Reason,D Time,Rec By,Contact No,Agent Name,DRS Date,Inb Branch,Unnamed: 24,Unnamed: 25,Unnamed: 26
AXX358592,19774040,ANDE,2024-12-31,B BOX,,,,,HAKIM AALIM HAIR LOUNGE PVT LTD,HAKIMS AALIM 7 WINDERMERE BUILDING OPP MEERA TOWERS BACK ROAD OSHIWARA ANDHERI WEST MUMBAI 400053,MUMBAI,400053,2RL9999999999,0.1,Delivered,2025-01-10,Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
AXX358619,36571908,ANDE,2024-12-31,B BOX,,,,,AQEELS GENTS SALON,SHOP NO 05 BUILDING NO 14 MHADA NEW LINK ROAD OSHIWARA ANDHERI WEST MUMBAI,MUMBAI,400053,2RL7506722501,0.1,Delivered,2025-01-10,Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
FD1544068,99295854,ANDE,2024-12-27,FSO006,,,,,LORD OF DELIVERY KITCHEN,GROUND FLOOR MAHDA BUILDING OPP MEENA TOWER OSHIWARA ANDHERI WEST 400053 Mumbai Maharashtra,Mumbai,400053,1RL9834890293,0.1,Delivered,2025-01-02,Signature,10:54:00,,,YOGESH KARANJKAR,2025-01-01,N,,FISERV INDIA PVT LTD,
AXX358969,41779212,ANDE,2024-12-31,B BOX,,,,,ADARSH ENTERPRISES,735 736 ADARSH NAGAR NEW LINK RAOD OSHIWARA ANDHERI W MUMBAI 400102,MUMBAI,400102,4RL0,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
AXX358970,41779213,ANDE,2024-12-31,B BOX,,,,,ADARSH ENTERPRISES,735 736 ADARSH NAGAR NEW LINK RAOD OSHIWARA ANDHERI W MUMBAI 400102,MUMBAI,400102,4RL9773003791,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
AXX358971,41779214,ANDE,2024-12-31,B BOX,,,,,ADARSH ENTERPRISES,735 736 ADARSH NAGAR NEW LINK RAOD OSHIWARA ANDHERI W MUMBAI 400102,MUMBAI,400102,3RL9867053716,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
AXX358980,47578138,ANDE,2024-12-31,B BOX,,,,,TESCO XPRESS,SHOP NO 7 B SWATI APT OPP MEGA MALL ANAND NAGAR OSHIWARA ANDHERI WEST MUMBAI 400102,MUMBAI,400102,6RL7666082818,0.1,Delivered,2025-01-10,Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,BILLBOX MUMBAI (AXIS BANK),
STH195445,2226506A,ANDE,2024-12-31,SRS,,,,,SOCIETY STORES,No 41 Beside Paradise Heights Near Millat Nagar gate no 4opp BMC Garden side gate Oshiwara Andheri West Mumbai,MUMBAI,400053,2RL,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,SRS (THERMAL ROLL),
STH195446,2226507A,ANDE,2024-12-31,SRS,,,,,SOCIETY STORES,No 41 Beside Paradise Heights Near Millat Nagar gate no 4opp BMC Garden side gate Oshiwara Andheri West Mumbai,MUMBAI,400053,8RL,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,SRS (THERMAL ROLL),
STH195447,2330251A,ANDE,2024-12-31,SRS,,,,,SOCIETY STORES,No 41 Beside Paradise Heights Near Millat Nagar gate no 4opp BMC Garden side gate Oshiwara Andheri West Mumbai,MUMBAI,400053,2RL,0.1,Delivered,2025-01-10,Stamp/Signature,10:01:16,,,YOGESH KARANJKAR,2025-01-09,N,,SRS (THERMAL ROLL),
